,,Celastrus,Brexia,Denhamia,Elaeodendron,Euonymus,Maytenus,Parnassia,Paxistima,Plagiopteron,Siphonodon,Stackhousia,Tripterygium,Arbutus,Albizia,Cicer,Glycine,Lotus,Medicago,Pisum,Alnus,Quercus,Chrysolepis,Fagus,Coffea,Galium,Luculia,Nerium,Cryptocarya,Laurus,Annona,Cananga,Malesherbia,Paropsia,Passiflora,Turnera,Aporusa,Bischofia,Croizatia,Heywoodia,Lachnostylis,Phyllanthus,Abatia,Casearia,Dovyalis,Flacourtia,Idesia,Lunania,Poliothyrsis,Populus,Prockia,Salix,Scyphostegia,Gossypium,Sterculia,Terminalia,Clidemia,Eucalyptus,Myrtus,Prunus,Spiraea,Schinus,Cupaniopsis
,,Celastraceae_1,Celastraceae_2,Celastraceae_3,Celastraceae_4,Celastraceae_5,Celastraceae_6,Celastraceae_7,Celastraceae_8,Celastraceae_9,Celastraceae_10,Celastraceae_11,Celastraceae_12,Ericaceae_13,Fabaceae_14,Fabaceae_15,Fabaceae_16,Fabaceae_17,Fabaceae_18,Fabaceae_19,Betulaceae_20,Fagaceae_21,Fagaceae_22,Fagaceae_23,Rubiaceae_24,Rubiaceae_25,Rubiaceae_26,Apocynaceae_27,Lauraceae_28,Lauraceae_29,Annonaceae_30,Annonaceae_31,Passifloraceae_32,Passifloraceae_33,Passifloraceae_34,Passifloraceae_35,Phyllanthaceae_36,Phyllanthaceae_37,Phyllanthaceae_38,Phyllanthaceae_39,Phyllanthaceae_40,Phyllanthaceae_41,Salicaceae_42,Salicaceae_43,Salicaceae_44,Salicaceae_45,Salicaceae_46,Salicaceae_47,Salicaceae_48,Salicaceae_49,Salicaceae_50,Salicaceae_51,Salicaceae_52,Malvaceae_53,Malvaceae_54,Combretaceae_55,Melastomataceae_56,Myrtaceae_57,Myrtaceae_58,Rosaceae_59,Rosaceae_60,Anacardiaceae_61,Sapindaceae_62
Prockia,Salicaceae_50,571,706,713,528,699,669,499,490,505,478,648,495,745,513,390,33,638,635,582,595,663,662,638,740,737,580,733,522,603,665,815,508,502,548,682,485,440,277,402,436,502,112,315,122,116,145,295,157,164,0,184,245,661,653,504,610,396,484,519,637,631,598
Salix,Salicaceae_51,631,745,713,574,749,674,574,483,496,468,716,486,812,580,405,32,640,733,590,654,723,726,632,734,814,647,791,603,689,762,893,566,560,666,749,497,498,284,431,457,589,230,358,162,161,120,339,143,114,184,0,275,723,723,595,676,389,572,499,712,681,643
Scyphostegia,Salicaceae_52,583,693,726,536,694,679,499,500,508,479,680,506,729,499,410,34,647,669,608,601,666,662,641,747,767,581,723,540,610,660,813,520,521,581,702,497,443,292,431,466,540,284,331,231,229,223,310,236,260,245,275,0,656,650,499,611,380,494,528,645,624,585
Gossypium,Malvaceae_53,679,1490,734,601,1506,681,1319,593,504,586,720,581,1044,1181,1084,646,1475,833,758,1283,1454,879,794,1426,1263,883,1037,1027,1124,1432,1592,815,830,1119,1665,739,694,403,649,697,1274,692,718,638,632,674,743,658,1174,661,723,656,0,345,1190,1418,864,1093,610,1368,1171,1152
Sterculia,Malvaceae_54,712,1550,776,644,1501,702,1409,619,555,615,986,610,1124,1070,923,488,1303,924,757,1288,1457,1001,852,1323,1258,883,1125,1083,1178,1475,1877,793,808,954,1465,724,805,396,626,682,1275,684,749,623,626,787,739,648,1176,653,723,650,345,0,1202,1337,815,1112,672,1369,1054,1141
Terminalia,Combretaceae_55,546,1811,654,517,1758,614,1676,462,484,445,844,464,976,1222,923,677,1276,660,724,1435,1613,769,751,1270,1254,964,901,965,1052,1482,1746,650,700,1140,1484,519,687,360,478,527,1528,526,617,481,472,607,597,503,1333,504,595,499,1190,1202,0,1239,586,947,526,1553,1314,1487
Clidemia,Melastomataceae_56,621,1789,712,583,1770,679,1674,582,502,557,622,582,1000,1381,989,748,1292,732,777,1657,1788,935,898,1378,1416,952,881,1092,1202,1419,1723,737,788,1251,1609,670,722,453,541,583,1715,644,718,576,577,715,715,586,1522,610,676,611,1418,1337,1239,0,798,1087,686,1702,1542,1697
Eucalyptus,Myrtaceae_57,346,1057,515,330,1040,494,906,365,294,375,448,366,601,824,963,638,1133,395,417,952,1071,567,512,980,750,503,551,735,776,1020,1206,433,493,708,1186,450,429,203,450,486,937,407,424,370,385,460,396,385,871,396,389,380,864,815,586,798,0,202,425,975,863,911
Myrtus,Myrtaceae_58,560,1617,611,510,1578,571,1529,433,458,430,754,441,910,1197,854,614,1188,651,717,1339,1528,751,709,1212,1250,884,872,940,1054,1520,1717,631,685,1104,1448,503,674,266,388,418,1440,530,635,469,471,621,579,489,1282,484,572,494,1093,1112,947,1087,202,0,509,1464,1220,1409
Prunus,Rosaceae_59,579,733,640,563,704,607,625,583,531,592,685,566,732,470,425,26,615,629,686,692,659,608,561,818,1036,731,809,579,636,613,938,579,592,598,706,584,531,274,503,540,657,542,539,495,482,598,523,517,637,519,499,528,610,672,526,686,425,509,0,312,774,681
Spiraea,Rosaceae_60,717,1891,807,677,1838,751,1726,621,569,608,1001,596,1136,1241,974,577,1325,862,914,1350,1602,904,832,1427,1522,1088,1129,1174,1282,1613,2016,824,888,1278,1622,706,816,378,628,654,1593,657,752,616,611,770,747,645,1439,637,712,645,1368,1369,1553,1702,975,1464,312,0,1535,1664
Schinus,Anacardiaceae_61,598,1605,685,521,1593,636,1472,529,445,517,656,530,1014,1326,1061,624,1446,778,949,1491,1579,825,843,1531,1637,1193,1118,998,1110,1480,1595,781,828,1245,1576,717,639,369,626,660,1443,677,683,612,611,649,704,631,1292,631,681,624,1171,1054,1314,1542,863,1220,774,1535,0,862
Cupaniopsis,Sapindaceae_62,607,1759,702,541,1715,659,1649,573,508,558,781,563,1039,1359,1019,634,1376,772,894,1564,1712,912,897,1380,1458,1046,994,1017,1123,1554,1887,729,779,1234,1521,635,711,383,565,603,1612,635,673,571,555,740,664,578,1426,598,643,585,1152,1141,1487,1697,911,1409,681,1664,862,0
